_id,Year/Année,Parent who gave birth/Parent qui a donné naissance,Age of Father or Parent / Âge du père ou parent,Births/Naissances
1,2012,15,<20,59
2,2012,15,20-24,7
3,2012,15,25-29,1
4,2012,15,30-34,0
5,2012,15,35-39,0
6,2012,15,40-44,0
7,2012,15,45-49,0
8,2012,15,50-54,0
9,2012,15,55-59,0
10,2012,15,60+,0
11,2012,15,N.S./N.P.,33
12,2012,16,<20,150
13,2012,16,20-24,52
14,2012,16,25-29,4
15,2012,16,30-34,1
16,2012,16,35-39,0
17,2012,16,40-44,1
18,2012,16,45-49,0
19,2012,16,50-54,0
20,2012,16,55-59,0
21,2012,16,60+,0
22,2012,16,N.S./N.P.,104
23,2012,17,<20,291
24,2012,17,20-24,178
25,2012,17,25-29,26
26,2012,17,30-34,7
27,2012,17,35-39,0
28,2012,17,40-44,0
29,2012,17,45-49,0
30,2012,17,50-54,0
31,2012,17,55-59,0
32,2012,17,60+,0
33,2012,17,N.S./N.P.,219
34,2012,18,<20,321
35,2012,18,20-24,403
36,2012,18,25-29,92
37,2012,18,30-34,17
38,2012,18,35-39,3
39,2012,18,40-44,4
40,2012,18,45-49,2
41,2012,18,50-54,1
42,2012,18,55-59,0
43,2012,18,60+,0
44,2012,18,N.S./N.P.,273
45,2012,19,<20,288
46,2012,19,20-24,797
47,2012,19,25-29,223
48,2012,19,30-34,67
49,2012,19,35-39,15
50,2012,19,40-44,8
51,2012,19,45-49,4
52,2012,19,50-54,1
53,2012,19,55-59,0
54,2012,19,60+,0
55,2012,19,N.S./N.P.,357
56,2012,20,<20,143
57,2012,20,20-24,1116
58,2012,20,25-29,380
59,2012,20,30-34,104
60,2012,20,35-39,31
61,2012,20,40-44,13
62,2012,20,45-49,7
63,2012,20,50-54,3
64,2012,20,55-59,0
65,2012,20,60+,0
66,2012,20,N.S./N.P.,387
67,2012,21,<20,72
68,2012,21,20-24,1339
69,2012,21,25-29,680
70,2012,21,30-34,197
71,2012,21,35-39,59
72,2012,21,40-44,13
73,2012,21,45-49,3
74,2012,21,50-54,5
75,2012,21,55-59,0
76,2012,21,60+,0
77,2012,21,N.S./N.P.,408
78,2012,22,<20,18
79,2012,22,20-24,1300
80,2012,22,25-29,1177
81,2012,22,30-34,374
82,2012,22,35-39,122
83,2012,22,40-44,34
84,2012,22,45-49,10
85,2012,22,50-54,3
86,2012,22,55-59,1
87,2012,22,60+,0
88,2012,22,N.S./N.P.,411
89,2012,23,<20,16
90,2012,23,20-24,1080
91,2012,23,25-29,1532
92,2012,23,30-34,524
93,2012,23,35-39,183
94,2012,23,40-44,50
95,2012,23,45-49,18
96,2012,23,50-54,3
97,2012,23,55-59,1
98,2012,23,60+,1
99,2012,23,N.S./N.P.,375
100,2012,24,<20,8
101,2012,24,20-24,850
102,2012,24,25-29,2236
103,2012,24,30-34,808
104,2012,24,35-39,229
105,2012,24,40-44,76
106,2012,24,45-49,24
107,2012,24,50-54,6
108,2012,24,55-59,4
109,2012,24,60+,0
110,2012,24,N.S./N.P.,378
111,2012,25,<20,4
112,2012,25,20-24,506
113,2012,25,25-29,2916
114,2012,25,30-34,1315
115,2012,25,35-39,368
116,2012,25,40-44,111
117,2012,25,45-49,37
118,2012,25,50-54,8
119,2012,25,55-59,2
120,2012,25,60+,3
121,2012,25,N.S./N.P.,373
122,2012,26,<20,5
123,2012,26,20-24,302
124,2012,26,25-29,3569
125,2012,26,30-34,1986
126,2012,26,35-39,536
127,2012,26,40-44,162
128,2012,26,45-49,62
129,2012,26,50-54,12
130,2012,26,55-59,1
131,2012,26,60+,5
132,2012,26,N.S./N.P.,406
133,2012,27,<20,2
134,2012,27,20-24,188
135,2012,27,25-29,3699
136,2012,27,30-34,2706
137,2012,27,35-39,793
138,2012,27,40-44,192
139,2012,27,45-49,64
140,2012,27,50-54,17
141,2012,27,55-59,5
142,2012,27,60+,3
143,2012,27,N.S./N.P.,382
144,2012,28,<20,4
145,2012,28,20-24,159
146,2012,28,25-29,3409
147,2012,28,30-34,3684
148,2012,28,35-39,1112
149,2012,28,40-44,286
150,2012,28,45-49,85
151,2012,28,50-54,24
152,2012,28,55-59,4
153,2012,28,60+,3
154,2012,28,N.S./N.P.,364
155,2012,29,<20,3
156,2012,29,20-24,111
157,2012,29,25-29,2646
158,2012,29,30-34,4904
159,2012,29,35-39,1517
160,2012,29,40-44,374
161,2012,29,45-49,102
162,2012,29,50-54,20
163,2012,29,55-59,10
164,2012,29,60+,0
165,2012,29,N.S./N.P.,357
166,2012,30,<20,2
167,2012,30,20-24,61
168,2012,30,25-29,1624
169,2012,30,30-34,5979
170,2012,30,35-39,1978
171,2012,30,40-44,529
172,2012,30,45-49,149
173,2012,30,50-54,37
174,2012,30,55-59,9
175,2012,30,60+,3
176,2012,30,N.S./N.P.,323
177,2012,31,<20,0
178,2012,31,20-24,49
179,2012,31,25-29,850
180,2012,31,30-34,6131
181,2012,31,35-39,2555
182,2012,31,40-44,640
183,2012,31,45-49,183
184,2012,31,50-54,51
185,2012,31,55-59,9
186,2012,31,60+,3
187,2012,31,N.S./N.P.,277
188,2012,32,<20,0
189,2012,32,20-24,41
190,2012,32,25-29,590
191,2012,32,30-34,5362
192,2012,32,35-39,3058
193,2012,32,40-44,857
194,2012,32,45-49,199
195,2012,32,50-54,58
196,2012,32,55-59,18
197,2012,32,60+,7
198,2012,32,N.S./N.P.,301
